Clover ID,Name,Alternate Name,Description,Price,Price Type,Price Unit,Cost,Product Code,SKU,Quantity,Hidden?,Default tax rates?,Non-revenue item?,Printer Labels,Modifier Groups,Categories,Tax Rates,Variant Attribute,Variant Option
NQVKZGYZBMGE0,Trolli: Very Berry - Sour Brite Crawlers 5 oz Bag (CGD),,,$2.99,Fixed,,$1.33,041420115875,041420115875,,No,Yes,No,,,Snacks - Candy,,,
T3T4MJV11ZHCT,Purina: Bella - Natural Dog Food 3.5 oz Can,,,$1.49,Fixed,,$0.69,05015201,05015201,,Yes,Yes,No,,,Pet Products,,,
DHHXC6C51K0BT,Purina Meow Mix:Original Choice 18 oz (SGD),,,$3.99,Fixed,,$2.47,829274454186,829274454186,,Yes,Yes,No,,,Pet Products,,,
VSZEXQYAD45BR,Frito Lay: Quaker Oats - Cap'n Crunch Sweet Corn & Oat Cereal 1.51 oz Cup,,,$1.99,Fixed,,$0.75,030000315972,,2,No,Yes,No,,,Groceries - Cereal,,,
DNVMM6Z1M0C92,Frito Lay: Lay's - Salt & Vinegar Chips 7 3/4 oz Bag,,,$5.09,Fixed,,$3.68,028400200608,,2,No,Yes,No,,,Snacks - Chips,,,
QW81Q51EPCTHT,Frito Lay: Fritos - Corn Original Chips 9 1/4oz Bag,,,$5.89,Fixed,,$4.35,028400589291,08360800,,No,Yes,No,,,Snacks - Chips,,,
VE4VXW97JQG56,Gambler: Menthol Tube Kings 200 ct (CTD),,,$6.99,Fixed,,$3.39,077170260626,077170260626,,No,No,No,,,Tobacco - OTP,Processing Charge,,
,,,,,,,,,,,,,,,,,Tobacco Tax,,
YASYX86E3GGGE,Frito Lay: Smartfood - Simply Sea Salt Popcorn 1 5/8 oz Bag,,,$2.69,Fixed,,$1.88,028400713092,,,No,Yes,No,,,Snacks,,,
TGXQ6TXYDYMTG,Frito Lay: Smartfood - Simply White Cheddar Popcorn 1 5/8 oz Bag,,,$2.69,Fixed,,$1.88,028400713078,,1,No,Yes,No,,,Snacks - Chips,,,
1ESZ867BHK08G,Frito Lay: Lay's - Kettle Cooked Jalapeno Chips 8 oz Bag,,,$5.09,Fixed,,$3.68,028400371858,,,No,Yes,No,,,Snacks - Chips,,,
9RRBKVXFNNR46,Tic Tac: Big Berry 1 oz Box (CGD),,,$1.89,Fixed,,$1.08,009800005406,009800005406,,No,Yes,No,,,Snacks - Candy,,,
EY87XVNJ9CTWM,Frito Lay: Ruffles - Cheddar & Sour Cream Chips 7 3/4 oz Bag,,,$4.99,Fixed,,$3.68,028400199636,11540000,,No,Yes,No,,,Snacks - Chips,,,
MT4E502N4YJM8,Goldenberg's: Peanut Chews Milk Chocolatey Bar 2 oz Pk,,,$1.89,Fixed,,$1.01,070970950247,359760,,No,Yes,No,,,Snacks - Candy,,,
7T03QMENVK46Y,Goldenberg's: Peanut Chews Original Dark  Bar 2 oz Pk,,,$1.89,Fixed,,$1.01,070970910241,359752,2,No,Yes,No,,,Snacks - Candy,,,
2Y4PY7DXQ7H0W,Frito Lay: Quaker Oat - Apples & Cinnamon Oatmeal 1.51 oz Cup,,,$1.99,Fixed,,$1.04,030000319567,,1,No,Yes,No,,,Groceries - Cereal,,,
Y8V2G6DTJ04J2,Gambler: Red Tubes 100's 200 ct (CTD),,,$6.99,Fixed,,$3.39,077170260640,077170260640,,No,No,No,,,Tobacco - OTP,Processing Charge,,
,,,,,,,,,,,,,,,,,Tobacco Tax,,
THY7VPJS3YVF4,Log Cabin: Pancake Syrup 12 oz Bottle,,,$4.99,Fixed,,$3.09,043000000366,,1,No,Yes,No,,,Groceries - Condiments / Sauces / Spices,,,
M2Z2FDXHG3XGA,Frito Lay: Lay's - Barbecue Chips 7 3/4 oz Bag,,,$4.99,Fixed,,$3.68,028400199612,,1,No,Yes,No,,,Snacks - Chips,,,
XWWET9C75F2EC,Parliament: White Box King 1 Pk (CTD),,,$13.41,Fixed,,$11.98,02878421,02878421,10,No,No,No,Cigarettes,,Tobacco - Cigarettes,Processing Charge,,
,,,,,,,,,,,,,,,,,Tobacco Tax,,
WNTJ1QTGQRHMY,USB Charging Dock,,,$5.99,Fixed,,$1.99,819913011566,J1A1063,,No,Yes,No,,,Household - General Products,,,
C3R1VK5GV1MVT,Starburst: Sour Berries Gummies 5.8 oz Bag (CGD),,,$3.79,Fixed,,$2.23,022000021243,399600,,Yes,Yes,No,,,Snacks - Candy,,,
MH57DQM2XE6W2,Starburst: Airs Gummies 4.3 oz Bag (CGD),,,$3.89,Fixed,,$2.23,022000288844,,,Yes,Yes,No,,,Snacks - Candy,,,
DE59B4GY959CA,First State: Double Circle Theory - Hazy IPA 12 oz / 6 pk Cans (OBD),,,$17.99,Fixed,,$11.38,198168548578,,,Yes,No,No,Beer,,Alcohol - Beers,Processing Charge,,
,,,,,,,,,,,,,,,,,Alcohol Tax,,
XDDGDYEHB72YA,Snyder's: Honey Mustard & Onion Pretzel 5 oz Bag (CGD),,,$2.99,Fixed,,$1.69,077975093900,648808,3,No,Yes,No,,,Snacks,,,
83TNE375AK728,Advil: Ibuprofen Caplets - 200 mg 24 cnt,,,$8.29,Fixed,,$4.99,305730160209,509133,,No,No,No,,,Medicine / Vitamins,Processing Charge,,
,,,,,,,,,,,,,,,,,Retail Tax,,
